ID|Posicion|Rol|Sociedad|DescSociedad|Division|DescDivision
1|ADMINISTRADOR CONTRATOS Y MESA AYUDA|Z_PARTIDA_IND_CTA_MAY|306|Centro de Servic. Compart|D135|CSC Monterrey
2|ADMINISTRADOR CONTRATOS Y MESA AYUDA|Z_COMUN|306|Centro de Servic. Compart|D135|CSC Monterrey
3|ADMINISTRADOR DE EXPANSION|Z_ADM_PROY_PS_IND|01|FARMACON, S.A. DE C.V|K019|Farm Mérida
4|ADMINISTRADOR DE EXPANSION|Z_COMUN|01|FARMACON, S.A. DE C.V|K019|Farm Mérida
5|ADMINISTRADOR DE EXPANSION|Z_WORKFLOW_AUTOMATICO|01|FARMACON, S.A. DE C.V|K019|Farm Mérida
6|ADMINISTRADOR DE EXPANSION|Z_EXCEDENTES_SUC|01|FARMACON, S.A. DE C.V|K019|Farm Mérida
7|ADMINISTRADOR DE EXPANSION|Z_VENTAS_ACUM_POR_PROD|01|FARMACON, S.A. DE C.V|K019|Farm Mérida
8|ADMINISTRADOR DE EXPANSION|Z_ACT_CONS_ART|01|FARMACON, S.A. DE C.V|K019|Farm Mérida
9|ADMINISTRADOR DE MANTENIMIENTO|Z_ACCESO_DOCU_JST|01|FARMACON, S.A. DE C.V|K003|Farm Culiacan
10|ADMINISTRADOR DE MANTENIMIENTO|Z_ADM_PROY_PS_IND|01|FARMACON, S.A. DE C.V|K003|Farm Culiacan
11|ADMINISTRADOR DE MANTENIMIENTO|Z_COMUN|01|FARMACON, S.A. DE C.V|K003|Farm Culiacan
12|ADMINISTRADOR DE MANTENIMIENTO|Z_WORKFLOW_AUTOMATICO|01|FARMACON, S.A. DE C.V|K003|Farm Culiacan
13|ADMINISTRADOR DE MANTENIMIENTO|Z_ACCESO_DOCU_JST|01|FARMACON, S.A. DE C.V|K019|Farm Mérida
14|ADMINISTRADOR DE MANTENIMIENTO|Z_ADM_PROY_PS_IND|01|FARMACON, S.A. DE C.V|K019|Farm Mérida
15|ADMINISTRADOR DE MANTENIMIENTO|Z_COMUN|01|FARMACON, S.A. DE C.V|K019|Farm Mérida
16|ADMINISTRADOR DE MANTENIMIENTO|Z_WORKFLOW_AUTOMATICO|01|FARMACON, S.A. DE C.V|K019|Farm Mérida
